13;3163
30;1370263
130;399410
142;269965
142;1273255
142;1378532
144;1374197
176;1657164
191;404978
239;3017
267;123799
309;2099138
399;6302
405;278875
414;117015
414;737839
414;1385987
479;1992403
481;8980
491;773458
1021;106794
1273;1430438
1399;1516959
1399;1986730
1522;2093135
1578;4373
1581;19239
1641;2863
1647;6254
1647;7090
1712;110924
1712;1390638
1712;2003903
1732;401716
1737;15108
1750;1567608
1772;5523
1772;114559
1781;590815
1781;763710
1788;120316
1789;1392297
1793;2061779
1797;8076
1812;3333
1825;350247
1825;815663
1825;843096
1916;123123
1920;2102031
1923;756849
1937;569706
1937;1407762
2040;803714
2068;1335097
2068;1569344
2068;2100201
2070;757890
2127;741414
2199;1558506
2211;741960
2277;1554555
2320;1637056
2343;1393433
2361;7679
2492;875507
2509;9311
2535;3232
2580;1378495
2601;1618934
2643;745093
2643;1565795
2643;2105516
2681;350282
2829;401948
2871;8344
2913;589915
3010;119581
3010;590259
3010;595044
3010;710458
3010;721894
3030;1562684
3172;805219
3192;748865
3204;22535
3253;1563652
3273;1563749
3281;120155
3285;3286
3298;121573
3298;1442728
3306;749690
3306;1416922
3306;1435972
3391;752939
3391;1346590
3416;1588892
3417;724727
3648;414606
3648;415876
3651;404829
3748;1343958
3750;924443
3750;1630721
3758;725204
3760;1520987
3780;1566247
4061;1549221
4091;23546
4110;589445
4146;268573
4381;13559
4397;590637
4406;8386
4415;356674
4500;6318
4503;5897
4544;750038
4544;1424916
4544;1588083
4592;6425
4828;16170
4852;5318
4863;778461
4863;1558713
4877;1421947
4887;8802
4902;10709
4939;12243
4971;2075475
4972;598907
5016;760930
5016;1412678
5065;406992
5071;1436474
5083;725981
5310;14482
5316;16610
5364;407344
5385;794023
5389;284364
5400;590178
5430;1621912
5466;779373
5488;740110
5523;114559
5814;1607068
5980;6830
6217;120036
6254;7090
6275;123649
6276;118601
6342;1437993
6342;1442306
6362;757705
6376;772864
6621;1583310
6687;912446
6779;772877
6820;2097356
6821;1577493
6834;601143
6851;1580193
6853;10414
6967;1627601
7051;1581231
7086;592998
7112;582740
7156;1577294
7214;100895
7214;674411
7214;1294064
7214;1326258
7214;1371314
7214;1456797
7214;1483966
7214;1683424
7214;1950738
7214;2091354
7499;115871
7537;29629
7543;15842
7574;123429
7584;118990
7704;1280295
7704;2045377
7966;11232
7966;276273
7988;123153
8075;597879
8425;25922
8458;1588164
8479;757564
8522;1677669
8593;804276
8593;1593463
8593;1644630
8598;14698
8598;1608049
8613;412280
8613;767697
8613;1576464
8692;1595466
8709;600567
8725;1618412
8739;835356
8822;839445
8824;122573
8870;11764
8870;1586177
8913;284102
8919;755259
8919;1592361
8930;726411
8969;1590914
9020;291210
9020;361259
9020;1457338
9020;1523095
9249;10223
9294;22534
9296;355818
9313;598536
9325;730381
9391;848666
9418;2079421
9474;841083
9693;1598218
9700;597001
9766;1581601
9772;590085
9776;12727
9822;815241
9822;827752
9822;1559421
9843;1519624
9893;1595168
9898;1640516
10125;356351
10150;595203
10157;1563451
10179;1567068
10283;120422
10323;1430776
10327;11855
10342;24489
10342;590198
10342;600098
10362;1420083
10404;598546
10684;799365
10703;1523005
10752;25049
10769;595693
10820;1641247
10978;148931
11201;18379
11232;276273
11253;802571
11294;596090
11336;348672
11493;801346
11762;973829
11764;1586177
11798;596114
11846;101063
11846;106552
11846;121908
11999;816094
12234;1577240
12240;25592
12276;2084604
12276;2087741
12311;833543
12311;889625
12469;1453337
12738;1447168
12739;1607264
12740;930293
12749;357971
12805;736602
12805;752973
12805;1388879
12805;1390997
12805;1551414
12824;723837
12824;830738
12824;2095934
12895;363023
12902;855430
12986;1447990
13029;1645932
13065;1448216
13077;1618444
13122;805252
13159;597408
13238;934984
13242;815152
13281;1575946
13376;1574583
13404;1651352
13410;1452104
13436;1612958
13521;14003
13521;14458
13660;15457
13664;143497
13758;1569492
13817;1666396
13979;1618312
14003;14458
14028;16605
14058;289298
14075;16229
14075;1581434
14126;853354
